,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,A.4_Expected Annual Damage 0,A.4_Expected Number of Deaths 0,A.4_Expected Annual Damage 1,A.4_Expected Number of Deaths 1,A.4_Expected Annual Damage 2,A.4_Expected Number of Deaths 2,A.4_Expected Annual Damage 3,A.4_Expected Number of Deaths 3,Total Expected Annual Damage,Total Expected Number of Deaths
240,1.0,179.52227858638386,1.5,0.6381896337780774,257.7436965175824,10.0,0.09773907959421724,265.72818164490127,1.0,0.8069508136685118,200.43167193861942,10.0,0.03840717893003567,224.7608225366051,10.0,0.8079780449429551,3.5,1.5,2.5,16744872.811760338,0.009297111288516992,21865004.34768295,0.009297111288516992,19055797.1960089,0.009297111288516992,16744872.811760338,0.009297111288516992,74410547.16721253,0.03718844515406797
250,100.0,296.3026830260615,10.0,0.7455951362847908,284.7320949567895,1.5,0.3277806234584569,240.6305977891401,1.0,0.6587506057230446,275.2952091488372,1.5,0.04624202901503219,149.2141184957895,1.5,0.6558310776005931,3.5,4.5,3.5,28598220.90245024,0.020116845786027848,25327973.176771656,0.020116845786027848,28598220.90245024,0.020116845786027848,25327973.176771656,0.020116845786027848,107852388.1584438,0.08046738314411139
263,106.0,292.1168369169377,1.5,0.6168628210719872,114.32442666898076,10.0,0.3824400790921693,288.7892432482825,1.5,0.29301861704205845,210.31943982720432,1.0,0.0917955980804212,169.79004175572,1.5,0.4061164185373965,2.5,3.5,2.5,25733653.70527552,0.016135015420814417,22612895.89957297,0.016135015420814417,25733653.70527552,0.016135015420814417,22612895.89957297,0.016135015420814417,96693099.20969698,0.06454006168325767
276,81.0,284.6440090634545,10.0,0.6482565422647243,107.65326501757194,1.0,0.16151584234703967,212.86646982775954,1.5,0.6478861627113689,203.61154815096862,10.0,0.028918206350943845,123.20576743365068,1.0,0.7047076099605921,4.5,3.5,2.5,26839303.758003727,0.020232349470895986,30304688.51109181,0.020232349470895986,34486974.30236723,0.020232349470895986,34486974.30236723,0.020232349470895986,126117940.87383002,0.08092939788358394
299,59.0,340.69581640502633,1.5,0.9227233075930472,322.4204486466955,10.0,0.9857558285311079,315.69294184871063,1.5,0.4297386263440661,74.79017657483374,1.5,0.09860135342788236,63.955602427076684,1.5,0.5501688370230107,1.5,3.5,4.5,32919298.16478134,0.01850777701186297,25210580.8924796,0.01850777701186297,22327714.678252835,0.01850777701186297,25210580.8924796,0.01850777701186297,105668174.62799338,0.07403110804745187
309,17.0,167.53390649797683,1.5,0.6452964569287089,68.68711948746594,1.5,0.1709134167550719,315.90860292267104,1.0,0.6175518804194879,72.93432434268517,1.0,0.006891996521730349,227.52677992944885,10.0,0.35527769409869964,1.5,2.5,2.5,38896503.66963147,0.01975956288009769,33899096.18933414,0.01975956288009769,33899096.18933414,0.01975956288009769,38896503.66963147,0.01975956288009769,145591199.7179312,0.07903825152039076
333,86.0,119.97040153266451,1.0,0.875927709749057,183.4679873961593,1.0,0.7288880574357609,324.56288760219377,1.5,0.5652843098445716,34.697544638201755,1.5,0.013873396492610272,159.9005471203062,1.5,0.10104354693782086,2.5,2.5,2.5,37389063.20958938,0.022682293475912826,37389063.20958938,0.022682293475912826,37389063.20958938,0.022682293475912826,32854836.85387714,0.022682293475912826,145022026.48264527,0.0907291739036513
384,67.0,77.8144652834088,1.0,0.5050105602980588,93.7466433583074,10.0,0.38988476117582815,174.7525522027441,1.5,0.5161312002170597,271.370559656417,1.5,0.11891284818983848,192.17445045915642,1.0,0.1128823307240818,3.5,4.5,3.5,23032997.90512809,0.017211839269065936,20399141.44000962,0.017211839269065936,23032997.90512809,0.017211839269065936,23032997.90512809,0.017211839269065936,89498135.1553939,0.06884735707626374
386,74.0,310.69035352411026,10.0,0.4197442941925197,284.28134530993873,1.0,0.7248814533529602,240.10341831944092,1.5,0.8146956849974465,150.13892874388554,1.0,0.04769083724065282,349.202188356204,1.5,0.2384447151062232,2.5,4.5,3.5,36479746.5304642,0.0218352106759978,28390168.112802677,0.0218352106759978,32055794.33778905,0.0218352106759978,36479746.5304642,0.0218352106759978,133405455.51152013,0.0873408427039912
388,26.0,337.1561223033315,10.0,0.8865797848747534,348.21527256090644,10.0,0.5596421402467933,70.58016225749408,10.0,0.9739238070417998,161.9477523566982,1.5,0.13655343831443326,161.01114275189204,10.0,0.31096914043393153,4.5,2.5,1.5,18159311.97634477,0.01556590090183641,23333680.00614083,0.01556590090183641,26773532.98494211,0.01556590090183641,18159311.97634477,0.01556590090183641,86425836.9437725,0.06226360360734564
393,124.0,159.647548901743,10.0,0.7695746479130325,136.28592981554516,10.0,0.2686595057885778,42.26729181914872,10.0,0.2760547857527767,193.33002965071847,1.5,0.17325781215631214,248.4955685136488,10.0,0.5352388563957597,2.5,1.5,3.5,16868493.544210292,0.010852677493168962,19355248.2160268,0.010852677493168962,14822826.671505567,0.010852677493168962,16868493.544210292,0.010852677493168962,67915061.97595295,0.04341070997267585
